Branch,Party_Group,Group_Description,Party_no,Party_name,Party_BLOC,Business_Locationname,PRT_SBLOC,LocationIdentifier_Name,Customer_State,Customer_City,LocationIdentifier_State,LocationIdentifier_City,Customer_Type,Cong_Typ,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Total_Revenue
GJ,      ,                                                                                                    ,D04647,ACCRA PAC INDIA PRIVATE LIMITED_GUJARAT                                                             ,Y07293,ACCRA PAC INDIA PRIVATE LIMITED                                                                     ,Z00001,VAPI-GIDC                                                                                           ,GUJARAT                                 ,VAPI                ,Gujarat                                                                                                                                               ,VAPI                                              ,Direct Customer                                                       ,CORPORATE-LOCAL                                                       ,0,0,0,0,0,34050,11700,19050,43500,108300
GJ,DG0087,ALKYL AMINES CHEMICALS LIMITED                                                                      ,D00137,ALKYL AMINES CHEMICALS LIMITED_GUJARAT                                                              ,Y00297,ALKYL AMINES CHEMICALS LIMITED_GUJARAT                                                              ,Z00001,GIDC DAHEJ                                                                                          ,GUJARAT                                 ,Bharuch             ,Gujarat                                                                                                                                               ,Bharuch                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,1320,1320,27637.5,6583.5,1320,22374,1320,1320,22374,85569
GJ,      ,                                                                                                    ,D04542,ALL FOUR SEASON HOLIDAYS_GUJARAT                                                                    ,Y07171,ALL FOUR SEASON HOLIDAYS                                                                            ,Z00001,BH NAVARANGPURA TEL EXCHANGE                                                                        ,Gujarat                                 ,Ahmedabad           ,Gujarat                                                                                                                                               ,AHMEDABAD                                         ,Direct Customer                                                       ,                                                                      ,0,0,0,7450,0,0,0,0,0,7450
GJ,DG0146,ANSI BYTECODE LLP                                                                                   ,D00258,ANSI BYTECODE LLP_GUJARAT                                                                           ,Y00428,ANSI BYTECODE LLP_GUJARAT                                                                           ,Z00001,Ganesh Meridian-Ahmedabad                                                                           ,GUJARAT                                 ,AHMEDABAD           ,Gujarat                                                                                                                                               ,Ahmedabad                                         ,Direct Customer                                                       ,CORPORATE-LOCAL                                                       ,10403,5098,8632,11577,6297,8502,1500,6992,8700,67701
GJ,      ,                                                                                                    ,D04577,ARCHER TRANSNATIONAL SYSTEMS PRIVATE LIMITED_GUJARAT                                                ,Y07218,ARCHER TRANSNATIONAL SYSTEMS PRIVATE LIMITED                                                        ,Z00001,Alembic Business Park-Vadodara                                                                      ,GUJARAT                                 ,Vadodara            ,Gujarat                                                                                                                                               ,VADODARA                                          ,Direct Customer                                                       ,                                                                      ,0,0,0,0,35005,72035,0,37525,35325,179890
GJ,DG0170,ARIHA CORPORATION                                                                                   ,D00290,ARIHA CORPORATION_GUJARAT                                                                           ,Y00500,ARIHA CORPORATION_GUJARAT                                                                           ,Z00003,ARIHA CORPORATION-NON SUPPORT MODEL                                                                 ,GUJARAT                                 ,Surat               ,Gujarat                                                                                                                                               ,Surat                                             ,Distributor                                                           ,DISTRIBUTOR                                                           ,106358.3,327969.3,138981.25,98630.04,87083,66183.5,49967.19,161487.2,112427,1149086.78
GJ,DG0170,ARIHA CORPORATION                                                                                   ,D00290,ARIHA CORPORATION_GUJARAT                                                                           ,Y00500,ARIHA CORPORATION_GUJARAT                                                                           ,Z00005,Intstu Aspirations Pvt Ltd                                                                          ,GUJARAT                                 ,Surat               ,Gujarat                                                                                                                                               ,SURAT CITY                                        ,Distributor                                                           ,DISTRIBUTOR                                                           ,0,0,1000,0,0,0,0,0,0,1000
GJ,DG0170,ARIHA CORPORATION                                                                                   ,D00290,ARIHA CORPORATION_GUJARAT                                                                           ,Y00500,ARIHA CORPORATION_GUJARAT                                                                           ,      ,                                                                                                    ,GUJARAT                                 ,Surat               ,UNKNOWN                                                                                                                                               ,UNKNOWN                                           ,Distributor                                                           ,DISTRIBUTOR                                                           ,0,0,0,0,17365,0,0,0,0,17365
GJ,DG0170,ARIHA CORPORATION                                                                                   ,D00290,ARIHA CORPORATION_GUJARAT                                                                           ,Y00500,ARIHA CORPORATION_GUJARAT                                                                           ,Z00006,21st CENTURY FERTILITY CENTRE                                                                       ,GUJARAT                                 ,Surat               ,Gujarat                                                                                                                                               ,SURAT CITY                                        ,Distributor                                                           ,DISTRIBUTOR                                                           ,0,0,1000,0,0,0,0,0,0,1000
GJ,      ,                                                                                                    ,D04497,ASAHI SONGWON COLORS LIMITED_GUJARAT                                                                ,Y07101,ASAHI SONGWON COLORS LIMITED                                                                        ,Z00001,Asahi House                                                                                         ,GUJARAT                                 ,Ahmedabad           ,Gujarat                                                                                                                                               ,AHMEDABAD                                         ,Direct Customer                                                       ,                                                                      ,0,0,15331.75,950,10050,950,950,7600,950,36781.75
GJ,DG0188,ASCENDION ENGINEERING PRIVATE LIMITED                                                               ,D00315,ASCENDION ENGINEERING PRIVATE LIMITED_GUJARAT                                                       ,Y00539,ASCENDION ENGINEERING PRIVATE LIMITED_GUJARAT                                                       ,Z00002,COLLABERA SERVICES PVT.LTD                                                                          ,GUJARAT                                 ,Vadodara            ,Gujarat                                                                                                                                               ,Vadodara                                          ,Direct Customer                                                       ,CORPORATE-LOCAL                                                       ,320812,100043,119547.15,34465.6,285370.3,115780,73662.75,73612,46432,1169724.8
GJ,      ,                                                                                                    ,D04395,ATOS GLOBAL IT SOLUTIONS AND SERVICES PRIVATE LIMITED_GUJARAT                                       ,Y06914,ATOS GLOBAL IT SOLUTIONS AND SERVICES PRIVATE LIMITED_GUJARAT                                       ,Z00001,Sears tower-Vadodara                                                                                ,GUJARAT                                 ,Vadodara            ,Gujarat                                                                                                                                               ,Vadodara                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,1250,13095,24376.5,12278.5,8909,7989,5838.5,0,0,73736.5
GJ,DG0239,MAX LIFE INSURANCE COMPANY LIMITED                                                                  ,D00402,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Y00670,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Z00161,Ahmedabad APC -APAH1                                                                                ,GUJARAT                                 ,AHMEDABAD           ,Gujarat                                                                                                                                               ,AHMEDABAD                                         ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,0,0,8200,7550,9250,9550,34550
