Branch,Doc_no,PARTY_GRP,GRP_DESC,PARTY_NAME,Customer_Type,ConsigneeName,LocationID_Code,LocationIdentifier,IM_CODE,IM_DESCR,DispatchDate,DispatchMonth,Installation_Month,July-25 (Demo),July-25 (Installation),August-25 (Demo),August-25 (Installation),September-25 (Demo),September-25 (Installation),October-25 (Demo),October-25 (Installation),November-25 (Demo),November-25 (Installation),December-25 (Demo),December-25 (Installation),January-26 (Demo),January-26 (Installation),June-26 (Installation),December-26 (Installation),Install_Date_NOT_Entered (Demo),Install_Date_NOT_Entered (Installation),Grand Total
GJ,FAOTGJ252600051,DG0259,PANAMAX INFOTECH LIMITED                                                                            ,BANKAI INFOTECH LIMITED_GUJARAT                                                                     ,Direct Customer                                                       ,BANKAI INFOTECH LIMITED_GUJARAT                                                                     ,Z00001,MEMNAGAR                                                                                            ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,21-07-2025,Jul-25,Jul-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600052,      ,NULL,SHALIBHADRA INNOVATIVE SPACES PRIVATE LIMITED_GUJARAT                                               ,Direct Customer                                                       ,SHALIBHADRA INNOVATIVE SPACES PRIVATE LIMITED_GUJARAT                                               ,Z00001,YMCA club-Ahmedabad                                                                                 ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,25-07-2025,Jul-25,Jul-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600053,DG2710,WELSPUN ENTERPRISES LIMITED                                                                         ,WELSPUN TRANSFORMATION SERVICES LIMITED_GUJARAT                                                     ,Direct Customer                                                       ,WELSPUN TRANSFORMATION SERVICES LIMITED                                                             ,Z00001,Village Morai-Vapi                                                                                  ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,29-07-2025,Jul-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600054,      ,NULL,KAVERI METALLISING & COATING INDUSTRIES PRIVATE LIMITED_GUJARAT                                     ,Direct Customer                                                       ,KAVERI METALLISING & COATING INDUSTRIES PRIVATE LIMITED_Gujarat                                     ,Z00002,KAVERI FILMS PVT LTD-KALOL                                                                          ,GBMPM-0006                    ,GBMPM-0006_2 LANE KOMPHY                                                                                                                                                                                                                                  ,30-07-2025,Jul-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600055,      ,NULL,LARSEN & TOUBRO LIMITED_GUJARAT                                                                     ,Direct Customer                                                       ,LARSEN & TOUBRO LIMITED                                                                             ,Z00001,Ranoli-Dist-Vadodara                                                                                ,GBMBC-0015                    ,GBMBC-0015_ZION PLUS                                                                                                                                                                                                                                      ,31-07-2025,Jul-25,Aug-25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GJ,FAOTGJ252600056,DG0239,MAX LIFE INSURANCE COMPANY LIMITED                                                                  ,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Direct Customer                                                       ,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Z00163,Vadodara                                                                                            ,GBMPM-0020                    ,GBMPM-0020_4 LANE QUADRA                                                                                                                                                                                                                                  ,02-08-2025,Aug-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600057,DG0239,MAX LIFE INSURANCE COMPANY LIMITED                                                                  ,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Direct Customer                                                       ,AXIS MAX LIFE INSURANCE LIMITED_GUJARAT                                                             ,Z00162,ABRU1-Bharuch 1                                                                                     ,GBMPM-0020                    ,GBMPM-0020_4 LANE QUADRA                                                                                                                                                                                                                                  ,02-08-2025,Aug-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600058,DG1005,INSTAKART SERVICES PRIVATE LIMITED                                                                  ,INSTAKART SERVICES PRIVATE LIMITED_GUJARAT                                                          ,Direct Customer                                                       ,INSTAKART SERVICES PRIVATE LIMITED_GUJARAT                                                          ,Z00014,Bavla Ahmedabad                                                                                     ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,02-08-2025,Aug-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600059,      ,NULL,TALENTBRIDGE INTERNATIONAL PRIVATE LIMITED_GUJARAT                                                  ,Direct Customer                                                       ,TALENTBRIDGE INTERNATIONAL PRIVATE LIMITED                                                          ,Z00001,Sarabhai Campus                                                                                     ,GBMBC-0008                    ,GBMBC-0008_TruBeans (30-ST-MW)                                                                                                                                                                                                                            ,02-08-2025,Aug-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GJ,FAOTGJ252600060,DG2610,VARIETA ENTERPRISES                                                                                 ,VARIETA ENTERPRISES_GUJARAT                                                                         ,Distributor                                                           ,VARIETA ENTERPRISES_GUJARAT                                                                         ,Z00005,GOLDI SUN PRIVATE LIMITED-Dhamdod-Kosamba                                                           ,GBMBC-0012                    ,GBMBC-0012_ZION 1.2 FRESH BEANS                                                                                                                                                                                                                           ,02-08-2025,Aug-25,Aug-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
